Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional
,,,,,,,,,,,,,-9999
BJ Adams,CB,Central Florida,College Stats,6-2,182,4.53,32.5,,117,,,,AdamBr00
Tommy Akingbesote,DT,Maryland,College Stats,6-4,306,5.09,28.0,,103,,,,AkinTo00
Darius Alexander,DT,Toledo,College Stats,6-4,305,4.95,31.5,28,111,7.60,4.79,,AlexDa01
Zy Alexander,CB,LSU,College Stats,6-1,187,4.56,31.5,,116,,,,AlexZy00
LeQuint Allen,RB,Syracuse,College Stats,6-0,204,,35.0,,120,,,,AlleLe01
Trey Amos,CB,Mississippi,College Stats,6-1,195,4.43,32.5,13,126,,,,AmosTr00
Andrew Armstrong,WR,Arkansas,College Stats,6-4,202,4.51,37.5,11,124,6.97,4.18,,-9999
Elijah Arroyo,TE,Miami,College Stats,6-5,250,,,22,,,,,ArroEl00
Eugene Asante,LB,Auburn,College Stats,6-1,223,4.48,,21,,,,,AsanEu01
Elic Ayomanor,WR,Stanford,College Stats,6-2,206,4.44,38.5,,127,,,,AyomEl00
Elijhah Badger,WR,Florida,College Stats,6-1,200,4.43,35.5,,,,,,BadgEl00
Tyler Baron,EDGE,Miami,College Stats,6-5,258,4.62,35.5,19,121,,,,BaroTy00
Jahdae Barron,CB,Texas,College Stats,5-11,194,4.39,35.0,,123,,,,BarrJa01
Gavin Bartholomew,TE,Pittsburgh,College Stats,6-5,246,4.70,,,,,,,BartGa00
Jeffrey Bassa,LB,Oregon,College Stats,6-1,232,4.63,38.5,21,118,7.34,,,BassJe00
Tyler Batty,EDGE,BYU,College Stats,6-6,271,4.78,34.0,27,120,7.21,4.54,,BattTy00
Jack Bech,WR,TCU,College Stats,6-1,214,,34.5,19,125,6.84,4.21,,BechJa00
Anthony Belton,OT,North Carolina St.,College Stats,6-6,336,5.26,29.5,,107,7.77,,,BeltAn00
Zeek Biggers,DT,Georgia Tech,College Stats,6-6,321,5.14,34.5,,111,,,,-9999
Yahya Black,DT,Iowa,College Stats,6-6,336,5.39,25.5,,101,7.63,4.72,,BlacYa00
Jaydon Blue,RB,Texas,College Stats,5-9,196,4.38,,,,,,,-9999
Isaiah Bond,WR,Texas,College Stats,5-11,180,4.39,,,,,,,BondIs00
Tyler Booker,G,Alabama,College Stats,6-5,321,5.38,27.0,,94,7.96,4.84,,BookTy00
Andres Borregales,K,Miami,College Stats,5-11,199,,,,,,,,BorrAn00
Jake Briningstool,TE,Clemson,College Stats,6-6,241,4.75,31.0,,115,,,,BrinJa00
Warren Brinson,DT,Georgia,College Stats,6-5,315,5.09,31.0,,115,,,,-9999
Ja'Corey Brooks,WR,Louisville,College Stats,6-2,184,,,,,,,,BrooJa04
Tahj Brooks,RB,Texas Tech,College Stats,5-9,214,4.52,35.0,16,120,6.90,4.06,,BrooTa00
Max Brosmer,QB,Minnesota,College Stats,6-2,217,,,,,,,,BrosMa00
Vernon Broughton,DT,Texas,College Stats,6-5,311,,,,,,,,BrouVe00
Logan Brown,OT,Kansas,College Stats,6-6,311,5.18,32.0,,111,7.75,4.51,,BrowLo01
Carson Bruener,LB,Washington,College Stats,6-1,227,4.58,33.5,,119,,,,-9999
Jacobee Bryant,CB,Kansas,College Stats,6-0,180,4.53,,,,,,,BryaCo02
Pat Bryant,WR,Illinois,College Stats,6-2,204,4.61,37.5,,124,,,,BryaPa00
Teddye Buchanan,LB,California,College Stats,6-2,233,4.60,40.0,26,125,,,,BuchTe00
Jordan Burch,EDGE,Oregon,College Stats,6-4,279,4.67,,,,,,,BurcJo00
Denzel Burke,CB,Ohio St.,College Stats,5-11,186,4.48,,,,,,,BurkDe01
James Burnip,P,Alabama,College Stats,6-6,235,,,,,,,,BurnJa00
Jamaree Caldwell,DT,Oregon,College Stats,6-2,332,5.16,27.0,,,,,,CaldJa00
Jihaad Campbell,LB,Alabama,College Stats,6-3,235,4.52,,,127,,,,CampJi00
Will Campbell,OT,LSU,College Stats,6-6,319,4.98,32.0,,113,,,,CampWi01
Abdul Carter,EDGE,Penn St.,College Stats,6-3,250,,,,,,,,CartAb00
Barrett Carter,LB,Clemson,College Stats,6-0,231,,34.5,,116,,4.41,,CartBa00
Sebastian Castro,SAF,Iowa,College Stats,5-11,203,4.59,30.5,,117,,4.34,,CastSe01
Alijah Clark,SAF,Syracuse,College Stats,6-1,188,4.50,33.0,,122,,,,ClarAl01
Connor Colby,G,Iowa,College Stats,6-6,309,5.11,28.5,,110,7.78,4.63,,ColbCo00
Alfred Collins,DT,Texas,College Stats,6-6,332,,26.0,,96,,,,CollAl01
Beaux Collins,WR,Notre Dame,College Stats,6-3,201,,,,,,,,CollBe00
Joshua Conerly,OT,Oregon,College Stats,6-5,311,5.05,34.5,,103,,,,ConeJo00
Hayden Conner,G,Texas,College Stats,6-6,314,,,,,7.90,4.88,,ConnHa00
Jalin Conyers,TE,Texas Tech,College Stats,6-4,260,4.74,35.5,,121,6.94,4.27,,ConyJa00
Brady Cook,QB,Missouri,College Stats,6-2,214,4.59,37.0,,128,7.01,4.17,,CookBr03
Ajani Cornelius,OT,Oregon,College Stats,6-5,310,,,,,,,,CornAj00
Eli Cox,C,Kentucky,College Stats,6-4,306,5.02,32.5,,109,7.63,4.58,,CoxxEl00
Kitan Crawford,SAF,Nevada,College Stats,5-11,202,4.41,41.5,18,128,6.81,4.03,,-9999
Jeremy Crawshaw,P,Florida,College Stats,6-4,198,,,,,,,,CrawJe00
Brandon Crenshaw-Dickson,OT,Florida,College Stats,6-7,316,5.33,24.5,,96,8.15,4.91,,CrenBr00
Jaxson Dart,QB,Mississippi,College Stats,6-2,223,,,,,,,,DartJa00
Garrett Dellinger,G,LSU,College Stats,6-4,325,,,,,,,,DellGa00
Fadil Diggs,EDGE,Syracuse,College Stats,6-4,257,4.57,30.5,,121,,,,DiggFa00
Chimere Dike,WR,Florida,College Stats,6-1,196,4.34,38.5,,128,6.82,4.27,,DikeCh00
CJ Dippre,TE,Alabama,College Stats,6-5,256,4.69,34.5,32,120,,,,DippCJ00
Ra'Mello Dotson,CB,Kansas,College Stats,6-1,192,4.59,34.5,,123,,,,DotsMe00
Ethan Downs,EDGE,Oklahoma,College Stats,6-4,269,4.69,34.0,32,119,7.58,4.59,,DownEt00
Jamon Dumas-Johnson,LB,Kentucky,College Stats,6-1,238,,,,,,,,DumaJa00
Power Echols,LB,North Carolina,College Stats,5-11,237,4.73,37.0,,115,7.60,4.56,,EchoPo00
Donovan Edwards,RB,Michigan,College Stats,5-11,205,4.44,38.5,23,,,,,EdwaDo01
Emeka Egbuka,WR,Ohio St.,College Stats,6-1,202,,,,,,,,EgbuEm01
Nick Emmanwori,SAF,South Carolina,College Stats,6-3,220,4.38,43.0,20,138,,,,EmmaNi00
Aireontae Ersery,OT,Minnesota,College Stats,6-6,331,5.01,29.5,,111,7.81,4.82,,ErseAi00
Trevor Etienne,RB,Georgia,College Stats,5-9,198,4.42,35.0,15,124,,,,EtieTr01
Mitchell Evans,TE,Notre Dame,College Stats,6-5,258,4.74,31.0,,115,7.25,4.40,,EvanMi01
Quinn Ewers,QB,Texas,College Stats,6-2,214,,,,,,,,EwerQu00
Donovan Ezeiruaku,EDGE,Boston Col.,College Stats,6-3,248,,35.5,22,119,6.94,4.19,,EzeiDo00
Dylan Fairchild,G,Georgia,College Stats,6-5,318,,27.5,,111,,,,FairDy00
Joshua Farmer,DT,Florida St.,College Stats,6-3,305,5.11,29.0,26,112,,,,FarmJo00
Da'Quan Felton,WR,Virginia Tech,College Stats,6-5,213,4.50,32.5,16,122,7.10,4.30,,FeltDa00
Tai Felton,WR,Maryland,College Stats,6-1,183,4.37,39.5,,130,,,,FeltTa00
Terrance Ferguson,TE,Oregon,College Stats,6-5,247,4.63,39.0,,122,,,,FergTe00
Ryan Fitzgerald,K,Florida St.,College Stats,5-11,193,,,,,,,,FitzRy01
O'Donnell Fortune,CB,South Carolina,College Stats,6-1,185,,32.5,,117,,,,FortOD00
Zah Frazier,CB,Texas-San Antonio,College Stats,6-3,186,4.36,36.5,,126,7.00,4.26,,-9999
Miles Frazier,G,LSU,College Stats,6-6,317,5.24,31.0,,108,,,,FrazMi00
Dillon Gabriel,QB,Oregon,College Stats,5-11,205,,,,,,,,GabrDi00
Jacolby George,WR,Miami,College Stats,5-11,172,,32.5,,120,6.77,,,GeorJa00
DJ Giddens,RB,Kansas St.,College Stats,6-0,212,4.43,39.5,,130,,4.33,,GiddDJ00
Ashton Gillotte,EDGE,Louisville,College Stats,6-3,264,,36.5,24,120,,,,GillAs00
Matthew Golden,WR,Texas,College Stats,5-11,191,4.29,,,,,,,GoldMa02
Mason Graham,DT,Michigan,College Stats,6-4,296,,,24,,,,,GrahMa00
Charles Grant,OT,William & Mary,,6-5,311,,,,,,,,GranCh00
Kenneth Grant,DT,Michigan,College Stats,6-4,331,,,22,,,,,GranKe01
Joshua Gray,G,Oregon St.,College Stats,6-5,299,5.04,31.0,,104,,,,GrayJo01
Mike Green,EDGE,Marshall,College Stats,6-3,251,,,28,,,,,GreeMi02
Eric Gregory,DT,Arkansas,College Stats,6-3,319,5.14,27.0,28,108,7.68,4.97,,GregEr00
Maxwell Hairston,CB,Kentucky,College Stats,5-11,183,4.28,39.5,,129,,,,HairMa00
Ty Hamilton,DT,Ohio St.,College Stats,6-3,299,,,,,,,,HamiTy00
Omarion Hampton,RB,North Carolina,College Stats,6-0,221,4.46,38.0,18,130,,4.40,,HampOm00
Jordan Hancock,CB,Ohio St.,College Stats,6-0,195,,,,,,,,HancJo00
Derrick Harmon,DT,Oregon,College Stats,6-5,313,4.95,,,,,,,HarmDe01
Marcus Harris,CB,California,College Stats,5-11,189,4.45,,,,,,,-9999
Jermari Harris,CB,Iowa,College Stats,6-1,191,,37.0,,120,,,,HarrJe03
Cleveland Harris,WR,Mississippi,College Stats,6-2,205,4.54,38.5,,125,,,,HarrTr03
Jared Harrison-Hunte,DT,SMU,College Stats,6-3,290,4.86,32.0,,111,,,,HarrJa06
RJ Harvey,RB,Central Florida,College Stats,5-8,205,4.40,38.0,16,127,,4.34,,HarvRJ00
Ahmed Hassanein,EDGE,Boise St.,College Stats,6-2,267,4.77,32.5,27,113,,,,HassAh00
Jackson Hawes,TE,Georgia Tech,College Stats,6-5,253,4.82,34.5,16,121,,4.40,,HaweJa00
Gunnar Helm,TE,Texas,College Stats,6-5,241,4.84,30.0,,,7.15,4.40,,HelmGu00
Tonka Hemingway,DT,South Carolina,College Stats,6-3,284,,32.0,,112,7.36,4.48,,HemiTo00
TreVeyon Henderson,RB,Ohio St.,College Stats,5-10,202,4.43,38.5,,128,,,,HendTr02
Seth Henigan,QB,Memphis,College Stats,6-3,215,4.76,31.5,,114,7.34,4.44,,HeniSe00
Jayden Higgins,WR,Iowa St.,College Stats,6-4,214,4.47,39.0,,128,,,,HiggJa00
Jay Higgins,LB,Iowa,College Stats,6-0,224,4.82,33.0,,110,7.01,4.35,,HiggJa01
Tommi Hill,CB,Nebraska,College Stats,6-1,213,,,,,,,,HillTo02
Myles Hinton,OT,Michigan,College Stats,6-7,323,,31.5,,,,4.96,,HintMy00
Traeshon Holden,WR,Oregon,College Stats,6-2,205,4.57,32.0,,123,,,,HoldTr00
Maxen Hook,SAF,Toledo,College Stats,6-1,202,4.55,34.5,,124,,,,HookMa01
Cam Horsley,DT,Boston Col.,College Stats,6-3,312,,31.5,,108,,,,HorsCa00
Tory Horton,WR,Colorado St.,College Stats,6-3,196,4.41,37.5,,,,,,HortTo00
Will Howard,QB,Ohio St.,College Stats,6-4,236,,31.5,,112,7.13,4.33,,HowaWi01
Joe Huber,G,Wisconsin,College Stats,6-5,310,5.20,28.0,,106,7.69,4.78,,HubeJo00
Kobe Hudson,WR,Central Florida,College Stats,6-1,193,4.57,35.0,,122,,,,HudsKo00
Jarquez Hunter,RB,Auburn,College Stats,5-9,204,4.44,33.5,21,120,,,,HuntJa03
Travis Hunter,CB/WR,Colorado,College Stats,6-0,188,,,,,,,,HuntTr00
Alijah Huzzie,CB,North Carolina,College Stats,5-10,193,,,,,,,,-9999
Thomas Fidone II,TE,Nebraska,College Stats,6-5,243,4.70,35.5,,126,7.01,4.29,,-9999
Oronde Gadsden II,TE,Syracuse,College Stats,6-5,243,,34.0,,114,,,,GadsOr01
Ollie Gordon II,RB,Oklahoma St.,College Stats,6-1,226,4.61,34.5,,120,,,,GordOl00
Torricelli Simpkins III,C,South Carolina,College Stats,6-5,312,5.45,29.0,,110,,,,-9999
Luther Burden III,WR,Missouri,College Stats,6-0,206,4.41,,,,,,,BurdLu00
Howard Cross III,DT,Notre Dame,College Stats,6-1,285,,29.0,,104,,,,CrosHo01
Rayuan Lane III,SAF,Navy,College Stats,5-11,200,4.57,37.0,,128,7.10,4.28,,LaneRa00
Ricky White III,WR,UNLV,College Stats,6-1,184,4.61,36.0,,123,,,,WhitRi01
Tyrion Ingram-Dawkins,DT,Georgia,College Stats,6-5,276,4.86,36.0,,124,7.28,4.34,,IngrTy00
Ulysses Bentley IV,RB,Mississippi,College Stats,5-10,201,4.62,32.5,,117,,,,BentUl00
Jared Ivey,EDGE,Mississippi,College Stats,6-6,274,,,,,,,,IveyJa00
Cam Jackson,DT,Florida,College Stats,6-6,328,5.17,24.5,,93,,,,JackCa01
Daniel Jackson,WR,Minnesota,College Stats,5-11,193,,,,,6.78,4.07,,JackDa03
Donovan Jackson,G,Ohio St.,College Stats,6-4,315,,,,,,,,JackDo03
Ja'Quinden Jackson,RB,Arkansas,College Stats,6-2,229,,32.0,,119,7.19,4.36,,JackJa05
Landon Jackson,EDGE,Arkansas,College Stats,6-6,264,4.68,40.5,,129,,,,JackLa03
Jordan James,RB,Oregon,College Stats,5-10,205,4.55,,,117,,,,JameJo01
Shemar James,LB,Florida,College Stats,6-1,222,4.69,32.0,,117,7.09,4.27,,JameSh00
Ashton Jeanty,RB,Boise St.,College Stats,5-9,211,,,,,,,,JeanAs00
Kaleb Johnson,RB,Iowa,College Stats,6-1,224,4.57,,,,,,,JohnKa03
Tez Johnson,WR,Oregon,College Stats,5-10,154,4.51,37.0,,131,6.65,4.15,,JohnTe03
Will Johnson,CB,Michigan,College Stats,6-2,194,,,,,,,,JohnWi02
Emery Jones,OT,LSU,College Stats,6-5,315,,,,,,,,JoneEm02
Sai'vion Jones,EDGE,LSU,College Stats,6-5,280,,33.0,19,119,,,,JoneSa01
Jah Joyner,EDGE,Minnesota,College Stats,6-4,262,4.60,30.0,,,7.33,4.68,,JoynJa00
Kelvin Banks Jr.,OT,Texas,College Stats,6-5,315,5.16,32.0,,104,7.81,4.66,,BankKe01
Billy Bowman Jr.,SAF,Oklahoma,College Stats,5-10,192,4.42,35.5,17,123,,,,BowmBi01
Sam Brown Jr.,WR,Miami,College Stats,6-2,200,4.44,41.5,,,,,,BrowSa01
Harold Fannin Jr.,TE,Bowling Green,College Stats,6-3,241,4.71,34.0,22,118,6.97,4.39,,FannHa00
Jimmy Horn Jr.,WR,Colorado,College Stats,5-8,174,4.46,38.0,,128,,4.41,,HornJi00
Montrell Johnson Jr.,RB,Florida,College Stats,5-11,212,4.41,35.5,,123,,4.29,,JohnMo00
Demetrius Knight Jr.,LB,South Carolina,College Stats,6-2,235,4.58,31.5,22,118,7.12,4.25,,KnigDe00
Jason Marshall Jr.,CB,Florida,College Stats,6-0,194,4.49,37.5,,125,,,,MarsJa00
Chris Paul Jr.,LB,Mississippi,College Stats,6-1,222,4.63,36.0,,117,,,,PaulCh01
James Pearce Jr.,EDGE,Tennessee,College Stats,6-5,245,4.47,31.0,,123,,,,PearJa00
Shavon Revel Jr.,CB,East Carolina,College Stats,6-2,194,,,,,,,,ReveSh00
